T (K),a,da/dT
296.98,0,0.00E+00
467.98,0.001714481,1.99E-05
482.65,0.003428961,9.05E-05
497.32,0.005143442,1.17E-04
507.15,0.010286884,5.23E-04
511.98,0.012001364,3.96E-04
516.82,0.015430325,3.67E-04
521.82,0.017144806,3.68E-04
526.65,0.018859286,4.29E-04
531.48,0.022288248,5.19E-04
536.48,0.024002728,6.35E-04
541.32,0.027431689,7.09E-04
546.15,0.034289722,8.66E-04
551.15,0.039433164,1.03E-03
555.98,0.044576605,1.05E-03
560.82,0.049720047,1.13E-03
565.82,0.056577969,1.13E-03
570.65,0.061721411,1.13E-03
575.48,0.066864853,1.05E-03
580.48,0.072008295,0.00104885
585.32,0.077151847,0.001053946
590.15,0.082295288,0.001054292
595.15,0.08743873,0.001048854
599.98,0.092582172,0.001053915
604.82,0.097725614,0.001054279
609.82,0.102869055,0.001048143
614.65,0.108012497,0.000985243
619.48,0.111441458,0.000971585
624.48,0.1165849,0.000888014
629.32,0.120013971,0.000810741
634.15,0.125157413,0.000736369
639.15,0.128586374,0.000730486
643.98,0.132015335,0.000702866
648.82,0.135444297,0.000711418
653.65,0.140587738,0.000698981
658.65,0.1440167,0.000686444
663.48,0.147445661,0.002042223
668.32,0.166305057,0.003398716
673.32,0.190307786,0.004800338
678.15,0.216025104,0.004841548
682.98,0.229740949,0.004878538
687.98,0.264030671,0.00496606
692.82,0.288033399,0.004946611
697.65,0.312036238,0.005014527
702.65,0.337753556,0.005035857
707.48,0.361756285,0.005015592
712.32,0.385759123,0.004919638
717.32,0.409761851,0.004792091
722.15,0.432050209,0.004614972
726.98,0.450909495,0.004434555
731.98,0.478341295,0.004564322
736.82,0.498915062,0.004531331
741.65,0.5229179,0.004494089
746.65,0.545206148,0.004244006
751.48,0.560636583,0.003802539
756.32,0.589782753,0.003182074
761.32,0.612071111,0.002529132
766.15,0.634359359,0.001098471
770.98,0.63950291,0.00105304
775.98,0.644646352,0.001048468
780.82,0.651504274,0.001046442
785.65,0.656647716,0.001064127
790.65,0.661791158,0.001048798
795.48,0.6669346,0.001053911
800.32,0.672078042,0.001064164
805.32,0.678935964,0.000883753
810.15,0.682364925,0.00070944
814.98,0.685793996,0.000702795
819.98,0.689222957,0.000699218
824.82,0.692651919,0.000702744
829.65,0.69608088,0.000766739
834.65,0.701224322,0.000764567
839.48,0.704653283,0.000768573
844.32,0.708082244,0.00070944
849.15,0.711511205,0.00060362
854.15,0.713225686,0.000454842
858.98,0.714940166,0.00035472
863.82,0.720083608,0.000348903
868.82,0.721798089,0.000476862
873.65,0.72522705,0.000511541
883.48,0.730370602,0.000523092
888.32,0.733799563,0.000572819
893.15,0.735514043,0.000599473
898.15,0.738943005,0.000535532
902.98,0.740657485,0.000561127
907.82,0.744086446,0.000487187
912.82,0.745800927,0.000451371
917.65,0.749229888,0.000387169
922.48,0.750944369,0.000354782
932.32,0.75608781,0.00042795
937.15,0.757802291,0.000447046
946.98,0.762945733,0.00043059
951.82,0.764660213,0.000447194
961.65,0.769803765,0.00043074
966.48,0.771518246,0.000449836
976.32,0.776661688,0.000523062
981.15,0.778376168,0.000406647
986.15,0.780090649,0.000324824
1000.82,0.786948571,0.000453991
1005.65,0.788663052,0.00039201
1010.48,0.790377532,0.000337038
1039.82,0.802378896,0.000403802
1044.65,0.804093377,0.000367253
1049.65,0.805807858,0.000349601
1054.48,0.807522338,0.000351302
1059.32,0.809236819,0.000351423
1064.32,0.810951299,0.000349672
1069.15,0.81266578,0.00035183
1103.32,0.822952774,0.000321403
1108.32,0.824667254,0.000312135
1122.98,0.828096215,0.000248271
1127.82,0.829810696,0.000314753
1132.65,0.831525176,0.000369261
1147.32,0.834954138,0.000292634
1152.32,0.836668618,0.00028641
1166.98,0.840097579,0.000295426
1171.82,0.84181206,0.000291532
1186.48,0.845241021,0.000296906
1191.32,0.846955502,0.00029148
1205.98,0.850384463,0.000291933
1210.98,0.852098944,0.00028521
1225.65,0.855527905,0.000244829
